,Id,Title,PublishDate,Abstract,TopicNumber,TopicProb,TokenizedDoc
0,0,Security in Microservices Architectures,2021, a microservice is a small or even micro independent process that communicates acts and returns via messages through lightweight mechanisms like thrift http or restapi microservices architecture is amateur evolution of the monolithic architecture observing it in a functional way it is correct to claim that it breaks down complex applications into a simpler abstraction as this research demonstrates microservices architecture is intrinsically connected as a symbiosis with container based deployment because these containers have no need for embedded operating systems and calls are made for os resources via an application programming interface it is safe to claim that this technology is currently the focus of modern developers nowadays semantically speaking microservices functionally deconstruct larger applications into smaller discrete services and containers are viewed as a natural compute platform for this architecture a single service is and can be represented by multiple containers in a microservices cluster each single service is designed to provide a specific set of functions while services act to makeup the entire application it common in large application the decomposition into multiple arms of more than twenty services although less can be commonly found as well the main objective of microservices architecture is to disassemble the core components of a given type of application this study could be done in multiple ways all of them different because practically everybody has their specific way of looking at microservices but one aspect is the same cross mentalities security so the focus of this research is to expose the main security aspects of this specific architecture in this cost effective era ,1.0,0.1880737624976273,"['microservice', 'small', 'even', 'micro', 'independent', 'process', 'communicate', 'act', 'return', 'message', 'lightweight', 'mechanism', 'thrift', 'http', 'restapi', 'microservice', 'amateur', 'evolution', 'monolithic', 'architecture', 'observe', 'functional', 'way', 'correct', 'claim', 'break', 'complex', 'application', 'simple', 'abstraction', 'research', 'demonstrate', 'microservice_architecture', 'intrinsically', 'connect', 'symbiosis', 'container', 'base', 'deployment', 'container', 'need', 'embed', 'operating', 'system', 'call', 'make', 'os', 'resource', 'application', 'programming', 'interface', 'safe', 'claim', 'technology', 'currently', 'focus', 'modern', 'developer', 'nowadays', 'semantically', 'speak', 'microservice', 'functionally', 'deconstruct', 'large', 'application', 'small', 'discrete', 'service', 'container', 'view', 'natural', 'compute', 'platform', 'architecture', 'single', 'service', 'represent', 'multiple', 'container', 'microservice', 'cluster', 'single', 'service', 'design', 'provide', 'specific', 'set', 'function', 'service', 'act', 'makeup', 'entire', 'application', 'common', 'large', 'application', 'decomposition', 'multiple', 'arm', 'service', 'less', 'commonly', 'find', 'well', 'main', 'objective', 'microservice_architecture', 'disassemble', 'core', 'component', 'give', 'type', 'application', 'study', 'do', 'multiple', 'way', 'different', 'practically', 'specific', 'way', 'look', 'microservice', 'security', 'focus', 'research', 'expose', 'main', 'security', 'aspect', 'specific', 'architecture', 'cost', 'effective', 'era']"
1,1,Detecting Cyber Security Attacks against a Microservices Application using Distributed Tracing,2021, microservices are emerging as the dominant software design architecture for many different applications and cyber attacks are targeting more software organisations every day newer techniques for detecting cyber intrusions against such applications are in high demand application functionality that is executed within a microservices application can be monitored and logged using distributed tracing distributed tracing is normally used for performance management of microservices applications in this paper we used distributed tracing for detecting cyber security attacks each microservice call or sequence of calls executed in response to a request by an end user of the application is logged as a trace anomaly detection is a means of detecting irregular or unusual events or patterns in a data set that occur to a greater or a lesser degree than the majority of the data in this paper we present initial work that identifies anomalous distributions of traces a frequency distribution of traces is obtained from normal data and traffic is identified as an anomaly candidate if it differs sufficiently from the base distribution this approach is evaluated using a password guessing attack in addition we briefly discuss a nosql injection attack which we argue is difficult to detect using trace data ,9.0,0.26919755864464917,"['microservice', 'emerge', 'dominant', 'software', 'design', 'architecture', 'many', 'different', 'application', 'cyber', 'attack', 'target', 'software', 'organisation', 'day', 'new', 'technique', 'detect', 'cyber', 'intrusion', 'application', 'high', 'demand', 'application', 'functionality', 'execute', 'microservice', 'application', 'monitor', 'log', 'use', 'distribute', 'tracing', 'distribute', 'trace', 'normally', 'use', 'performance', 'management', 'microservice', 'application', 'use', 'distribute', 'trace', 'detect', 'cyber', 'security', 'attack', 'microservice', 'call', 'sequence', 'call', 'execute', 'response', 'request', 'user', 'application', 'log', 'detection', 'mean', 'detect', 'irregular', 'unusual', 'event', 'pattern', 'datum', 'set', 'occur', 'great', 'less', 'degree', 'majority', 'datum', 'present', 'initial', 'work', 'identify', 'anomalous', 'distribution', 'trace', 'frequency', 'distribution', 'trace', 'obtain', 'normal', 'datum', 'traffic', 'identify', 'candidate', 'differ', 'sufficiently', 'base', 'distribution', 'approach', 'evaluate', 'use', 'password', 'guess', 'attack', 'addition', 'briefly', 'discuss', 'injection', 'attack', 'argue', 'difficult', 'detect', 'use', 'trace', 'datum']"
2,2,Robust Failure Diagnosis of Microservice System through Multimodal Data,2023, automatic failure diagnosis is crucial for large microservice systems currently most failure diagnosis methods rely solely on single modal data in this study we conduct an empirical study using real world failure cases to show that combining these sources of data leads to a more accurate diagnosis however effectively representing this data and addressing imbalanced failures remain a challenge to tackle these issues we introduce diagfusion a robust failure diagnosis approach that uses multimodal data it leverages embedding techniques and data augmentation to represent the multimodal data of service instances combines deployment data and traces to build a dependency graph and uses a graph neural network to localize the root cause instance and determine the failure type our evaluations using real world datasets show that diagfusion outperforms existing methods in terms of root cause instance localization and failure type determination ,11.0,0.5068304415638064,"['automatic', 'failure', 'diagnosis', 'crucial', 'large', 'microservice', 'system', 'currently', 'failure', 'diagnosis', 'method', 'rely', 'solely', 'single', 'modal', 'datum', 'study', 'conduct', 'study', 'use', 'real', 'world', 'failure', 'case', 'show', 'combine', 'source', 'datum', 'lead', 'accurate', 'diagnosis', 'effectively', 'represent', 'datum', 'address', 'imbalance', 'failure', 'remain', 'challenge', 'tackle', 'issue', 'introduce', 'diagfusion', 'robust', 'failure', 'diagnosis', 'approach', 'use', 'multimodal', 'datum', 'leverage', 'embed', 'technique', 'datum', 'augmentation', 'represent', 'multimodal', 'datum', 'service', 'instance', 'combine', 'deployment', 'datum', 'trace', 'build', 'dependency', 'graph', 'use', 'graph', 'neural', 'network', 'cause', 'instance', 'determine', 'failure', 'type', 'evaluation', 'use', 'real', 'world', 'dataset', 'show', 'diagfusion', 'outperform', 'exist', 'method', 'term', 'root', 'cause', 'instance', 'localization', 'failure', 'type', 'determination']"
3,3,eZTrust: Network-Independent Zero-Trust Perimeterization for Microservices,2019, emerging microservices based workloads introduce new security risks in today data centers as attacks can propagate laterally within the data center relatively easily by exploiting cross service dependencies as countermeasures for such attacks traditional perimeterization approaches such as network endpoint based access control do not fare well in highly dynamic microservices environments in this paper we propose eztrust anetwork independent perimeterization approach for microservices eztrust allows data center tenants to express access control policies based on fine grained workload identities and enables data center operators to enforce such policies reliably and efficiently in a purely network independent fashion to this end we leverage ebpf the extended berkeley packet filter to trace authentic workload identities and apply per packet tagging and verification we demonstrate the feasibility of our approach through extensive evaluation of our proof of concept prototype implementation we find that when comparable policies are enforced eztrust incurs times lower packet latency and times lower cpu overhead than traditional perimeterization schemes ,10.0,0.2928197963794475,"['emerge', 'microservice_base', 'workload', 'introduce', 'new', 'security', 'risk', 'today', 'datum', 'center', 'attack', 'propagate', 'laterally', 'datum', 'center', 'relatively', 'easily', 'exploit', 'cross', 'service', 'dependency', 'countermeasure', 'attack', 'traditional', 'perimeterization', 'approach', 'network', 'endpoint', 'base', 'access_control', 'fare', 'well', 'highly', 'dynamic', 'microservice', 'environment', 'propose', 'eztrust', 'anetwork', 'independent', 'perimeterization', 'approach', 'microservice', 'eztrust', 'allow', 'datum', 'center', 'tenant', 'express', 'access_control', 'policy', 'base', 'fine', 'grain', 'workload', 'identity', 'enable', 'datum', 'center', 'operator', 'enforce', 'policy', 'reliably', 'efficiently', 'purely', 'network', 'independent', 'fashion', 'end', 'leverage', 'ebpf', 'extend', 'filter', 'trace', 'authentic', 'workload', 'identity', 'apply', 'packet', 'tagging', 'verification', 'feasibility', 'approach', 'extensive', 'evaluation', 'proof', 'concept', 'prototype', 'implementation', 'find', 'comparable', 'policy', 'enforce', 'eztrust', 'incur', 'low', 'packet', 'latency', 'time', 'low', 'cpu', 'traditional', 'perimeterization', 'scheme']"
4,4,Identifying Availability Tactics to Support Security Architectural Design of Microservice-based Systems,2019, microservices is an architectural style that considers systems as modular customer centric independent and scalable suite of services in order to address security requirements in microservices based systems architects often must focus on critical quality attributes such as availability aiming at employing architectural solutions that provide design decisions that address key security concerns although current architectural tactics for availability offer an extensive catalog of alternatives to improve availability and security factors new availability concerns demand new or improved architectural tactics in this article we examined the source code and documentation of open source microservices based systems identified uses of availability tactics and characterized them using anewly introduced descriptive template we found that almost all tactics did focus on preventing faults rather than detecting mitigating or recovering from them this approach can be further used to systematically identify and characterize architectural tactics in existing microservices based systems in other critical quality attributes concerning security such as confidentiality and integrity ,8.0,0.32496983466015394,"['microservice', 'architectural', 'style', 'consider', 'system', 'modular', 'customer', 'centric', 'independent', 'scalable', 'suite', 'service', 'order', 'address', 'security', 'requirement', 'microservice_base', 'system', 'architect', 'often', 'focus', 'critical', 'quality', 'attribute', 'availability', 'aim', 'employ', 'architectural', 'solution', 'provide', 'design', 'decision', 'address', 'key', 'security', 'concern', 'current', 'architectural', 'tactic', 'availability', 'offer', 'extensive', 'catalog', 'alternative', 'improve', 'availability', 'security', 'factor', 'new', 'availability', 'concern', 'demand', 'new', 'improved', 'architectural', 'tactic', 'examine', 'source', 'code', 'documentation', 'open', 'source', 'microservice_base', 'system', 'identify', 'use', 'availability', 'tactic', 'characterize', 'use', 'anewly', 'introduce', 'descriptive', 'template', 'find', 'almost', 'tactic', 'focus', 'prevent', 'fault', 'rather', 'detect', 'mitigate', 'recover', 'approach', 'use', 'systematically', 'identify', 'characterize', 'architectural', 'tactic', 'exist', 'microservice_base', 'system', 'critical', 'quality', 'attribute', 'concern', 'security', 'confidentiality', 'integrity']"
5,5,A Game of Microservices: Automated Intrusion Response,2023, the microservice architecture is a subtype of distributed systems that has been attracting a lot of interest both in the industry and academia emerging research recognizes the need for a better understanding of microservice security and in particular mechanisms that enable defense in depth and adaptive security with the continuously growing number of possible attacks and defenses the choice in the optimal defense strategy becomes non trivial as well as time critical we propose a cost sensitive adaptable intrusion response system for microservices which uses a game theoretic approach to automatically respond to network attacks in real time furthermore we discuss both the applicable attacks and defense responses specific to microservices ,10.0,0.21723409153818934,"['microservice_architecture', 'subtype', 'distribute', 'system', 'attract', 'lot', 'interest', 'industry', 'academia', 'emerge', 'research', 'recognize', 'need', 'well', 'understand', 'microservice', 'security', 'particular', 'mechanism', 'enable', 'defense', 'depth', 'adaptive', 'security', 'continuously', 'grow', 'number', 'possible', 'attack', 'defense', 'choice', 'optimal', 'defense', 'strategy', 'become', 'trivial', 'well', 'time', 'critical', 'propose', 'cost', 'sensitive', 'adaptable', 'intrusion', 'response', 'system', 'microservice', 'use', 'game', 'theoretic', 'approach', 'automatically', 'respond', 'network', 'attack', 'real', 'time', 'furthermore', 'discuss', 'applicable', 'attack', 'defense', 'response', 'specific', 'microservice']"
6,6,Security Considerations for Microservice Architectures,2019, security is an important and difficult topic in today complex computer systems cloud based systems adopting microservice architectures complicate that analysis by introducing additional layers in the test system analyzed base layers are combined into three groups and possible security risks introduced by technologies used in these layers are analyzed the application layer focuses on security concerns that concern authorization and authentication the analysis is based on a microservice based rewritten version of the seat reservation system of the deutsche bahn using technologies such as amazon web services docker and kubernetes the comparison concludes that the security of communication in the test system could be significantly improved with little effort if security is not considered as an integral part from the beginning of a project it can easily be neglected and be expensive to add later on ,7.0,0.19045725437670907,"['security', 'important', 'difficult', 'topic', 'today', 'complex', 'computer', 'system', 'base', 'system', 'adopt', 'microservice_architecture', 'complicate', 'analysis', 'introduce', 'additional', 'layer', 'test', 'system', 'analyze', 'base', 'layer', 'combine', 'group', 'possible', 'security', 'risk', 'introduce', 'technology', 'use', 'layer', 'analyze', 'application', 'layer', 'focus', 'security', 'concern', 'concern', 'authorization', 'authentication', 'analysis', 'base', 'microservice_base', 'rewrite', 'version', 'seat', 'reservation', 'system', 'deutsche', 'bahn', 'use', 'technology', 'service', 'docker', 'kubernete', 'comparison', 'conclude', 'security', 'communication', 'test', 'system', 'significantly', 'improve', 'little', 'effort', 'security', 'consider', 'integral', 'part', 'begin', 'project', 'easily', 'neglect', 'expensive', 'add', 'later']"
7,7,All Eyes on You: Distributed Multi-Dimensional IoT Microservice Anomaly Detection,2018, the internet of things is a distributed system of cooperating microservices iot services manage devices that monitor and control their environments the interaction of the iot with the physical environment creates strong security privacy and safety implications it makes providing adequate security for iot ss essential however the complexity of iot services makes detecting anomalous behavior difficult we present a machine learning based approach for modeling iot service behavior by only observing inter service communication our algorithm continuously learns s models on distributed iot nodes within an iot site combining the learned models within and in between iot sites converges our s models within short time sharing the resulting stable models among compute nodes enables good anomaly detection as one application firewalling iot ss becomes possible combining our autonomous s modeling with firewalling enables retrofitting security to existing iot installations we enable retrofitting access control to existing non secure iot installations our proposed approach is resource efficient matching the requirements of the iot to evaluate the quality of our proposed algorithm we show its behavior for a set of common iot attacks we evaluate how domain knowledge enables us to decorrelate events on anode and how adding context features improves the detection rate ,6.0,0.4098442323677809,"['internet', 'thing', 'distribute', 'system', 'cooperate', 'microservice', 'service', 'manage', 'device', 'monitor', 'environment', 'interaction', 'physical', 'environment', 'create', 'strong', 'security', 'privacy', 'safety', 'implication', 'make', 'provide', 'adequate', 'security', 'essential', 'service', 'make', 'detect', 'anomalous', 'behavior', 'difficult', 'present', 'machine', 'learn', 'base', 'approach', 'model', 'iot', 'service', 'behavior', 'observe', 'service', 'communication', 'continuously', 'learn', 'model', 'distribute', 'node', 'site', 'combine', 'learn', 'model', 'iot', 'site', 'converge', 'model', 'short', 'time', 'share', 'result', 'stable', 'model', 'compute', 'node', 'enable', 'good', 'detection', 'application', 'firewalle', 'become', 'possible', 'combine', 'autonomous', 'modeling', 'firewalling', 'enable', 'retrofit', 'security', 'exist', 'iot', 'installation', 'enable', 'retrofit', 'access_control', 'exist', 'non', 'secure', 'installation', 'propose', 'approach', 'resource', 'efficient', 'matching', 'requirement', 'evaluate', 'quality', 'propose', 'show', 'behavior', 'set', 'common', 'iot', 'attack', 'evaluate', 'domain', 'knowledge', 'enable', 'decorrelate', 'event', 'anode', 'add', 'context', 'feature', 'improve', 'detection', 'rate']"
8,8,A Subgrid-Oriented Privacy-Preserving Microservice Framework Based on Deep Neural Network for False Data Injection Attack Detection in Smart Grids,2021, false data injection attacks have recently become a major threat to smart grids most of the existing fdia detection methods have focused on modeling the temporal relationship of time series measurement data but have paid less attention to the spatial relationship between bus line measurement data and have failed to consider the relationship between subgrids to address these issues in this article we propose a subgrid oriented microservice framework by integrating a well designed spatialtemporal neural network for fdia detection in ac model power systems first a well designed neural network is developed to model the spatial temporal relationship of bus line measurements for subgrids a microservice based supervising network is then proposed for integrating the representation features obtained from subgrids for the collaborative detection of fdias to evaluate the proposed framework three types of fdia datasets are generated based on a public benchmark power gridcase studies on the fdia datasets show that our method outperforms state of the art methods for fdia detection in these datasets ,11.0,0.2703706324323177,"['false', 'datum', 'injection', 'attack', 'recently', 'become', 'major', 'threat', 'smart', 'grid', 'exist', 'fdia', 'detection', 'method', 'focus', 'model', 'temporal', 'relationship', 'time', 'measurement', 'datum', 'pay', 'less', 'attention', 'spatial', 'relationship', 'bus', 'line', 'measurement', 'datum', 'fail', 'consider', 'relationship', 'subgrid', 'address', 'issue', 'propose', 'subgrid', 'orient', 'microservice', 'framework', 'integrate', 'well', 'design', 'spatialtemporal', 'neural', 'network', 'detection', 'model', 'system', 'first', 'well', 'design', 'neural', 'network', 'develop', 'model', 'spatial', 'temporal', 'relationship', 'bus', 'line', 'measurement', 'microservice_base', 'supervise', 'network', 'propose', 'integrate', 'representation', 'feature', 'obtain', 'subgrid', 'collaborative', 'detection', 'evaluate', 'propose', 'framework', 'type', 'fdia', 'dataset', 'generate', 'base', 'public', 'benchmark', 'power', 'gridcase', 'study', 'dataset', 'show', 'method', 'outperform', 'method', 'fdia', 'detection', 'dataset']"
9,9,Attribute-Based Access Control in Service Mesh,2019, cloud applications can consist of hundreds of services with thousands of instances in order to solve the problems of interservice interaction in this highly dynamic environment an additional software infrastructure layer called service mesh is introduced this layer provides a single point of interaction with the network for each service service mesh mechanisms are responsible for load balancing processing of network requests service discovery authentication authorization etc however the following questions arise complex key management fine grained access control at the application level confidentiality of data and many to many communications it is possible to solve these problems with attribute based encryption methods this paper presents an abstract model of a service mesh and a protocol for interservice communications which uses abe for authorization and confidentiality of the messages ,1.0,0.2679471291835787,"['application', 'consist', 'hundred', 'service', 'thousand', 'instance', 'solve', 'problem', 'interservice', 'interaction', 'highly', 'dynamic', 'environment', 'additional', 'software', 'infrastructure', 'layer', 'call', 'service_mesh', 'introduce', 'layer', 'provide', 'single', 'point', 'interaction', 'network', 'service', 'service_mesh', 'mechanism', 'responsible', 'load', 'balance', 'processing', 'network', 'request', 'service', 'discovery', 'authentication', 'authorization', 'follow', 'question', 'arise', 'complex', 'key', 'management', 'fine', 'grain', 'access_control', 'application', 'level', 'confidentiality', 'datum', 'many', 'many', 'communication', 'possible', 'solve', 'problem', 'attribute', 'base', 'encryption', 'method', 'present', 'abstract', 'model', 'service_mesh', 'protocol', 'interservice', 'communication', 'use', 'abe', 'authorization', 'confidentiality', 'message']"
