,TopicId,TopicName
0,0.0,"application, network, cloud, deploy, monitor, develop, entire, flowtap, therefore, flexible"
1,1.0,"service, application, request, communication, architecture, network, service_mesh, solution, deployment, pattern"
2,2.0,"container, image, docker, vulnerability, use, case, set, repository, application, identify"
3,3.0,"solution, datum, study, health, adopt, infrastructure, digital, secure, implement, prototype"
4,4.0,"security, microservice_architecture, design, pattern, challenge, threat, system, increase, order, address"
5,5.0,"security, policy, information, system, approach, level, leak, architect, microservice_architecture, design"
6,6.0,"model, service, access_control, microservice, iot, enable, exist, behavior, learn, make"
7,7.0,"system, configuration, attack, share, model, due, defense, container, kernel, base"
8,8.0,"system, service, provide, edge_compute, availability, microservice, tactic, architectural, concern, platform"
9,9.0,"microservice, application, software, cyber, development, api, detect, trace, attack, distribution"
10,10.0,"microservice, policy, attack, well, approach, cyber, large, base, datum, time"
11,11.0,"datum, use, microservice_base, failure, detection, system, framework, vulnerability, diagnosis, propose"
12,12.0,"application, web, cloud, base, detect, log, vulnerability, attack, request, microservice"
13,13.0,"framework, secure, edge_compute, propose, service, base, privacy, implement, spring, edge"
14,14.0,"security, microservice, spring, framework, develop, development, docker, use, vulnerability, test"
15,15.0,"network, solution, management, security, base, sweeten, show, monitor, case, requirement"
